Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-24,1.0,232
Worcestershire,E10000034,Upper tier local authority,2020-04-24,0.0,1021
Wolverhampton,E08000031,Upper tier local authority,2020-04-24,0.0,693
Wokingham,E06000041,Upper tier local authority,2020-04-24,1.0,325
Wirral,E08000015,Upper tier local authority,2020-04-24,0.0,901
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-24,0.0,219
Wiltshire,E06000054,Upper tier local authority,2020-04-24,0.0,385
Wigan,E08000010,Upper tier local authority,2020-04-24,0.0,549
Westminster,E09000033,Upper tier local authority,2020-04-24,0.0,573
West Sussex,E10000032,Upper tier local authority,2020-04-24,3.0,997
West Berkshire,E06000037,Upper tier local authority,2020-04-24,0.0,283
Warwickshire,E10000031,Upper tier local authority,2020-04-24,0.0,1008
Warrington,E06000007,Upper tier local authority,2020-04-24,0.0,533
Wandsworth,E09000032,Upper tier local authority,2020-04-24,0.0,883
Waltham Forest,E09000031,Upper tier local authority,2020-04-24,3.0,693
Walsall,E08000030,Upper tier local authority,2020-04-24,0.0,798
Wakefield,E08000036,Upper tier local authority,2020-04-24,0.0,461
Trafford,E08000009,Upper tier local authority,2020-04-24,0.0,534
Tower Hamlets,E09000030,Upper tier local authority,2020-04-24,0.0,586
Torbay,E06000027,Upper tier local authority,2020-04-24,0.0,182
Thurrock,E06000034,Upper tier local authority,2020-04-24,0.0,256
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-24,0.0,219
Tameside,E08000008,Upper tier local authority,2020-04-24,0.0,417
Swindon,E06000030,Upper tier local authority,2020-04-24,0.0,332
Sutton,E09000029,Upper tier local authority,2020-04-24,0.0,631
Surrey,E10000030,Upper tier local authority,2020-04-24,0.0,2333
Sunderland,E08000024,Upper tier local authority,2020-04-24,14.0,1066
Suffolk,E10000029,Upper tier local authority,2020-04-24,1.0,877
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-24,9.0,380
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-24,0.0,320
Stockport,E08000007,Upper tier local authority,2020-04-24,2.0,729
Staffordshire,E10000028,Upper tier local authority,2020-04-24,5.0,1506
St. Helens,E08000013,Upper tier local authority,2020-04-24,1.0,576
Southwark,E09000028,Upper tier local authority,2020-04-24,0.0,1142
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-24,0.0,275
Southampton,E06000045,Upper tier local authority,2020-04-24,1.0,429
South Tyneside,E08000023,Upper tier local authority,2020-04-24,11.0,464
South Gloucestershire,E06000025,Upper tier local authority,2020-04-24,0.0,312
Somerset,E10000027,Upper tier local authority,2020-04-24,0.0,428
Solihull,E08000029,Upper tier local authority,2020-04-24,0.0,496
